序号	传输方向	时间标识	状态	名称	帧ID	格式	类型	DLC	数据	
3475	接收	13:45:29.034			0x00000181	数据帧	标准帧	0x08	E1 FF 00 00 A9 F4 04 00 	
3476	接收	13:45:29.036			0x00000201	数据帧	标准帧	0x06	06 00 A9 F4 04 00 	
3477	接收	13:45:29.044			0x00000080	数据帧	标准帧	0x00		
3478	接收	13:45:29.044			0x00000181	数据帧	标准帧	0x08	E1 FF 00 00 A9 F4 04 00 	
3479	接收	13:45:29.046			0x00000201	数据帧	标准帧	0x06	06 00 A9 F4 04 00 	
3480	接收	13:45:29.054			0x00000080	数据帧	标准帧	0x00		
3481	接收	13:45:29.054			0x00000181	数据帧	标准帧	0x08	E2 FF 00 00 A9 F4 04 00 	
3482	接收	13:45:29.056			0x00000201	数据帧	标准帧	0x06	06 00 A9 F4 04 00 	
3483	接收	13:45:29.064			0x00000080	数据帧	标准帧	0x00		
3484	接收	13:45:29.064			0x00000181	数据帧	标准帧	0x08	E1 FF 00 00 A9 F4 04 00 	
3485	接收	13:45:29.066			0x00000201	数据帧	标准帧	0x06	06 00 A9 F4 04 00 	
3486	接收	13:45:29.074			0x00000080	数据帧	标准帧	0x00		
3487	接收	13:45:29.074			0x00000181	数据帧	标准帧	0x08	E1 FF 00 00 A9 F4 04 00 	
3488	接收	13:45:29.076			0x00000201	数据帧	标准帧	0x06	06 00 A9 F4 04 00 	
3489	接收	13:45:29.084			0x00000080	数据帧	标准帧	0x00		
3490	接收	13:45:29.084			0x00000181	数据帧	标准帧	0x08	E1 FF 00 00 A9 F4 04 00 	
3491	接收	13:45:29.086			0x00000201	数据帧	标准帧	0x06	06 00 A9 F4 04 00 	
3492	接收	13:45:29.094			0x00000080	数据帧	标准帧	0x00		
3493	接收	13:45:29.094			0x00000181	数据帧	标准帧	0x08	E1 FF 00 00 A9 F4 04 00 	
3494	接收	13:45:29.096			0x00000201	数据帧	标准帧	0x06	06 00 A9 F4 04 00 	
3495	接收	13:45:29.104			0x00000080	数据帧	标准帧	0x00		
3496	接收	13:45:29.104			0x00000181	数据帧	标准帧	0x08	E2 FF 00 00 A9 F4 04 00 	
3497	接收	13:45:29.106			0x00000201	数据帧	标准帧	0x06	06 00 A9 F4 04 00 	
3498	接收	13:45:29.114			0x00000080	数据帧	标准帧	0x00		
3499	接收	13:45:29.116			0x00000181	数据帧	标准帧	0x08	E2 FF 00 00 A9 F4 04 00 	
3500	接收	13:45:29.116			0x00000201	数据帧	标准帧	0x06	06 00 A9 F4 04 00 	
3501	接收	13:45:29.124			0x00000080	数据帧	标准帧	0x00		
3502	接收	13:45:29.126			0x00000181	数据帧	标准帧	0x08	E2 FF 00 00 A9 F4 04 00 	
3503	接收	13:45:29.126			0x00000201	数据帧	标准帧	0x06	06 00 A9 F4 04 00 	
3504	接收	13:45:29.134			0x00000080	数据帧	标准帧	0x00		
3505	接收	13:45:29.136			0x00000181	数据帧	标准帧	0x08	E1 FF 00 00 A9 F4 04 00 	
3506	接收	13:45:29.136			0x00000201	数据帧	标准帧	0x06	06 00 A9 F4 04 00 	
3507	接收	13:45:29.144			0x00000080	数据帧	标准帧	0x00		
3508	接收	13:45:29.146			0x00000181	数据帧	标准帧	0x08	E1 FF 00 00 A9 F4 04 00 	
3509	接收	13:45:29.146			0x00000201	数据帧	标准帧	0x06	06 00 A9 F4 04 00 	
3510	接收	13:45:29.154			0x00000080	数据帧	标准帧	0x00		
3511	接收	13:45:29.156			0x00000181	数据帧	标准帧	0x08	E2 FF 00 00 A9 F4 04 00 	
3512	接收	13:45:29.156			0x00000201	数据帧	标准帧	0x06	06 00 A9 F4 04 00 	
3513	接收	13:45:29.164			0x00000080	数据帧	标准帧	0x00		
3514	接收	13:45:29.166			0x00000181	数据帧	标准帧	0x08	E1 FF 00 00 A9 F4 04 00 	
3515	接收	13:45:29.166			0x00000201	数据帧	标准帧	0x06	06 00 A9 F4 04 00 	
3516	接收	13:45:29.174			0x00000080	数据帧	标准帧	0x00		
3517	接收	13:45:29.176			0x00000181	数据帧	标准帧	0x08	E1 FF 00 00 A9 F4 04 00 	
3518	接收	13:45:29.176			0x00000201	数据帧	标准帧	0x06	06 00 A9 F4 04 00 	
3519	接收	13:45:29.184			0x00000080	数据帧	标准帧	0x00		
3520	接收	13:45:29.186			0x00000181	数据帧	标准帧	0x08	E2 FF 00 00 A9 F4 04 00 	
3521	接收	13:45:29.186			0x00000201	数据帧	标准帧	0x06	06 00 A9 F4 04 00 	
3522	接收	13:45:29.194			0x00000080	数据帧	标准帧	0x00		
3523	接收	13:45:29.196			0x00000181	数据帧	标准帧	0x08	E2 FF 00 00 A9 F4 04 00 	
3524	接收	13:45:29.196			0x00000201	数据帧	标准帧	0x06	06 00 A9 F4 04 00 	
3525	接收	13:45:29.203			0x00000080	数据帧	标准帧	0x00		
3526	接收	13:45:29.205			0x00000181	数据帧	标准帧	0x08	E2 FF 00 00 A9 F4 04 00 	
3527	接收	13:45:29.205			0x00000201	数据帧	标准帧	0x06	06 00 A9 F4 04 00 	
3528	接收	13:45:29.209			0x00000701	数据帧	标准帧	0x01	05 	
3529	接收	13:45:29.213			0x00000080	数据帧	标准帧	0x00		
3530	接收	13:45:29.215			0x00000181	数据帧	标准帧	0x08	E2 FF 00 00 A9 F4 04 00 	
3531	接收	13:45:29.215			0x00000201	数据帧	标准帧	0x06	06 00 A9 F4 04 00 	
3532	接收	13:45:29.223			0x00000080	数据帧	标准帧	0x00		
3533	接收	13:45:29.225			0x00000181	数据帧	标准帧	0x08	E1 FF 00 00 A9 F4 04 00 	
3534	接收	13:45:29.225			0x00000201	数据帧	标准帧	0x06	06 00 A9 F4 04 00 	
3535	接收	13:45:29.233			0x00000080	数据帧	标准帧	0x00		
3536	接收	13:45:29.235			0x00000181	数据帧	标准帧	0x08	E1 FF 00 00 A9 F4 04 00 	
3537	接收	13:45:29.235			0x00000201	数据帧	标准帧	0x06	06 00 A9 F4 04 00 	
3538	接收	13:45:29.243			0x00000080	数据帧	标准帧	0x00		
3539	接收	13:45:29.245			0x00000181	数据帧	标准帧	0x08	E1 FF 00 00 A9 F4 04 00 	
3540	接收	13:45:29.245			0x00000201	数据帧	标准帧	0x06	06 00 A9 F4 04 00 	
3541	接收	13:45:29.253			0x00000080	数据帧	标准帧	0x00		
3542	接收	13:45:29.255			0x00000181	数据帧	标准帧	0x08	E1 FF 00 00 A9 F4 04 00 	
3543	接收	13:45:29.255			0x00000201	数据帧	标准帧	0x06	06 00 A9 F4 04 00 	
3544	接收	13:45:29.263			0x00000080	数据帧	标准帧	0x00		
3545	接收	13:45:29.265			0x00000181	数据帧	标准帧	0x08	E1 FF 00 00 A9 F4 04 00 	
3546	接收	13:45:29.265			0x00000201	数据帧	标准帧	0x06	06 00 A9 F4 04 00 	
3547	接收	13:45:29.273			0x00000080	数据帧	标准帧	0x00		
3548	接收	13:45:29.275			0x00000181	数据帧	标准帧	0x08	E1 FF 00 00 A9 F4 04 00 	
3549	接收	13:45:29.275			0x00000201	数据帧	标准帧	0x06	06 00 A9 F4 04 00 	
3550	接收	13:45:29.283			0x00000080	数据帧	标准帧	0x00		
3551	接收	13:45:29.285			0x00000181	数据帧	标准帧	0x08	E1 FF 00 00 A9 F4 04 00 	
3552	接收	13:45:29.285			0x00000201	数据帧	标准帧	0x06	06 00 A9 F4 04 00 	
3553	接收	13:45:29.293			0x00000080	数据帧	标准帧	0x00		
3554	接收	13:45:29.295			0x00000181	数据帧	标准帧	0x08	E1 FF 00 00 A9 F4 04 00 	
3555	接收	13:45:29.295			0x00000201	数据帧	标准帧	0x06	06 00 A9 F4 04 00 	
3556	接收	13:45:29.303			0x00000080	数据帧	标准帧	0x00		
3557	接收	13:45:29.305			0x00000181	数据帧	标准帧	0x08	E1 FF 00 00 A9 F4 04 00 	
3558	接收	13:45:29.305			0x00000201	数据帧	标准帧	0x06	06 00 A9 F4 04 00 	
3559	接收	13:45:29.313			0x00000080	数据帧	标准帧	0x00		
3560	接收	13:45:29.315			0x00000181	数据帧	标准帧	0x08	E1 FF 00 00 A9 F4 04 00 	
3561	接收	13:45:29.315			0x00000201	数据帧	标准帧	0x06	06 00 A9 F4 04 00 	
3562	接收	13:45:29.323			0x00000080	数据帧	标准帧	0x00		
3563	接收	13:45:29.325			0x00000181	数据帧	标准帧	0x08	E1 FF 00 00 A9 F4 04 00 	
3564	接收	13:45:29.325			0x00000201	数据帧	标准帧	0x06	06 00 A9 F4 04 00 	
3565	接收	13:45:29.333			0x00000080	数据帧	标准帧	0x00		
3566	接收	13:45:29.333			0x00000181	数据帧	标准帧	0x08	E1 FF 00 00 A9 F4 04 00 	
3567	接收	13:45:29.335			0x00000201	数据帧	标准帧	0x06	06 00 A9 F4 04 00 	
3568	接收	13:45:29.343			0x00000080	数据帧	标准帧	0x00		
3569	接收	13:45:29.343			0x00000181	数据帧	标准帧	0x08	E1 FF 00 00 A9 F4 04 00 	
3570	接收	13:45:29.345			0x00000201	数据帧	标准帧	0x06	06 00 A9 F4 04 00 	
3571	接收	13:45:29.353			0x00000080	数据帧	标准帧	0x00		
3572	接收	13:45:29.353			0x00000181	数据帧	标准帧	0x08	E1 FF 00 00 A9 F4 04 00 	
3573	接收	13:45:29.355			0x00000201	数据帧	标准帧	0x06	06 00 A9 F4 04 00 	
3574	接收	13:45:29.363			0x00000080	数据帧	标准帧	0x00		
3575	接收	13:45:29.363			0x00000181	数据帧	标准帧	0x08	E1 FF 00 00 A9 F4 04 00 	
3576	接收	13:45:29.365			0x00000201	数据帧	标准帧	0x06	06 00 A9 F4 04 00 	
3577	接收	13:45:29.373			0x00000080	数据帧	标准帧	0x00		
3578	接收	13:45:29.373			0x00000181	数据帧	标准帧	0x08	E1 FF 00 00 A9 F4 04 00 	
3579	接收	13:45:29.375			0x00000201	数据帧	标准帧	0x06	06 00 A9 F4 04 00 	
3580	接收	13:45:29.383			0x00000080	数据帧	标准帧	0x00		
3581	接收	13:45:29.383			0x00000181	数据帧	标准帧	0x08	E1 FF 00 00 A9 F4 04 00 	
3582	接收	13:45:29.385			0x00000201	数据帧	标准帧	0x06	06 00 A9 F4 04 00 	
3583	接收	13:45:29.393			0x00000080	数据帧	标准帧	0x00		
3584	接收	13:45:29.393			0x00000181	数据帧	标准帧	0x08	E1 FF 00 00 A9 F4 04 00 	
3585	接收	13:45:29.395			0x00000201	数据帧	标准帧	0x06	06 00 A9 F4 04 00 	
3586	接收	13:45:29.403			0x00000080	数据帧	标准帧	0x00		
3587	接收	13:45:29.403			0x00000181	数据帧	标准帧	0x08	E1 FF 00 00 A9 F4 04 00 	
3588	接收	13:45:29.405			0x00000201	数据帧	标准帧	0x06	06 00 A9 F4 04 00 	
3589	接收	13:45:29.413			0x00000080	数据帧	标准帧	0x00		
3590	接收	13:45:29.413			0x00000181	数据帧	标准帧	0x08	E1 FF 00 00 A9 F4 04 00 	
3591	接收	13:45:29.415			0x00000201	数据帧	标准帧	0x06	06 00 A9 F4 04 00 	
3592	接收	13:45:29.423			0x00000080	数据帧	标准帧	0x00		
3593	接收	13:45:29.423			0x00000181	数据帧	标准帧	0x08	E1 FF 00 00 A9 F4 04 00 	
3594	接收	13:45:29.427			0x00000201	数据帧	标准帧	0x06	06 00 A9 F4 04 00 	
3595	接收	13:45:29.433			0x00000080	数据帧	标准帧	0x00		
3596	接收	13:45:29.433			0x00000181	数据帧	标准帧	0x08	E1 FF 00 00 A9 F4 04 00 	
3597	接收	13:45:29.437			0x00000201	数据帧	标准帧	0x06	06 00 A9 F4 04 00 	
3598	接收	13:45:29.445			0x00000080	数据帧	标准帧	0x00		
3599	接收	13:45:29.445			0x00000181	数据帧	标准帧	0x08	E1 FF 00 00 A9 F4 04 00 	
3600	接收	13:45:29.447			0x00000201	数据帧	标准帧	0x06	06 00 A9 F4 04 00 	
3601	接收	13:45:29.455			0x00000080	数据帧	标准帧	0x00		
3602	接收	13:45:29.455			0x00000181	数据帧	标准帧	0x08	E1 FF 00 00 A9 F4 04 00 	
3603	接收	13:45:29.457			0x00000201	数据帧	标准帧	0x06	06 00 A9 F4 04 00 	
3604	接收	13:45:29.465			0x00000080	数据帧	标准帧	0x00		
3605	接收	13:45:29.465			0x00000181	数据帧	标准帧	0x08	E1 FF 00 00 A9 F4 04 00 	
3606	接收	13:45:29.467			0x00000201	数据帧	标准帧	0x06	06 00 A9 F4 04 00 	
3607	接收	13:45:29.475			0x00000080	数据帧	标准帧	0x00		
3608	接收	13:45:29.475			0x00000181	数据帧	标准帧	0x08	E1 FF 00 00 A9 F4 04 00 	
3609	接收	13:45:29.477			0x00000201	数据帧	标准帧	0x06	06 00 A9 F4 04 00 	
3610	接收	13:45:29.485			0x00000080	数据帧	标准帧	0x00		
3611	接收	13:45:29.485			0x00000181	数据帧	标准帧	0x08	E1 FF 00 00 A9 F4 04 00 	
3612	接收	13:45:29.487			0x00000201	数据帧	标准帧	0x06	06 00 A9 F4 04 00 	
3613	接收	13:45:29.494			0x00000080	数据帧	标准帧	0x00		
3614	接收	13:45:29.494			0x00000181	数据帧	标准帧	0x08	E1 FF 00 00 A9 F4 04 00 	
3615	接收	13:45:29.496			0x00000201	数据帧	标准帧	0x06	06 00 A9 F4 04 00 	
3616	接收	13:45:29.502			0x00000080	数据帧	标准帧	0x00		
3617	接收	13:45:29.504			0x00000181	数据帧	标准帧	0x08	E1 FF 00 00 A9 F4 04 00 	
3618	接收	13:45:29.506			0x00000201	数据帧	标准帧	0x06	06 00 A9 F4 04 00 	
3619	接收	13:45:29.512			0x00000080	数据帧	标准帧	0x00		
3620	接收	13:45:29.514			0x00000181	数据帧	标准帧	0x08	E1 FF 00 00 A9 F4 04 00 	
3621	接收	13:45:29.516			0x00000201	数据帧	标准帧	0x06	06 00 A9 F4 04 00 	
3622	接收	13:45:29.522			0x00000080	数据帧	标准帧	0x00		
3623	接收	13:45:29.524			0x00000181	数据帧	标准帧	0x08	E1 FF 00 00 A9 F4 04 00 	
3624	接收	13:45:29.524			0x00000201	数据帧	标准帧	0x06	06 00 A9 F4 04 00 	
3625	接收	13:45:29.532			0x00000080	数据帧	标准帧	0x00		
3626	接收	13:45:29.534			0x00000181	数据帧	标准帧	0x08	E1 FF 00 00 A9 F4 04 00 	
3627	接收	13:45:29.534			0x00000201	数据帧	标准帧	0x06	06 00 A9 F4 04 00 	
3628	接收	13:45:29.542			0x00000080	数据帧	标准帧	0x00		
3629	接收	13:45:29.544			0x00000181	数据帧	标准帧	0x08	E1 FF 00 00 A9 F4 04 00 	
3630	接收	13:45:29.544			0x00000201	数据帧	标准帧	0x06	06 00 A9 F4 04 00 	
3631	接收	13:45:29.552			0x00000080	数据帧	标准帧	0x00		
3632	接收	13:45:29.554			0x00000181	数据帧	标准帧	0x08	E1 FF 00 00 A9 F4 04 00 	
3633	接收	13:45:29.554			0x00000201	数据帧	标准帧	0x06	06 00 A9 F4 04 00 	
3634	接收	13:45:29.562			0x00000080	数据帧	标准帧	0x00		
3635	接收	13:45:29.564			0x00000181	数据帧	标准帧	0x08	E1 FF 00 00 A9 F4 04 00 	
3636	接收	13:45:29.564			0x00000201	数据帧	标准帧	0x06	07 00 A9 F4 04 00 	
3637	接收	13:45:29.573			0x00000080	数据帧	标准帧	0x00		
3638	接收	13:45:29.573			0x00000281	数据帧	标准帧	0x03	31 03 00 	
3639	接收	13:45:29.573			0x00000181	数据帧	标准帧	0x08	E1 FF 00 00 A9 F4 04 00 	
3640	接收	13:45:29.575			0x00000201	数据帧	标准帧	0x06	0F 00 A9 F4 04 00 	
3641	接收	13:45:29.582			0x00000080	数据帧	标准帧	0x00		
3642	接收	13:45:29.584			0x00000181	数据帧	标准帧	0x08	E1 FF 00 00 A9 F4 04 00 	
3643	接收	13:45:29.584			0x00000201	数据帧	标准帧	0x06	0F 00 A9 F4 04 00 	
3644	接收	13:45:29.593			0x00000080	数据帧	标准帧	0x00		
3645	接收	13:45:29.593			0x00000181	数据帧	标准帧	0x08	E1 FF 00 00 A9 F4 04 00 	
3646	接收	13:45:29.595			0x00000201	数据帧	标准帧	0x06	0F 00 A9 F4 04 00 	
3647	接收	13:45:29.602			0x00000281	数据帧	标准帧	0x03	33 03 08 	
3648	接收	13:45:29.602			0x00000080	数据帧	标准帧	0x00		
3649	接收	13:45:29.604			0x00000181	数据帧	标准帧	0x08	E1 FF 00 00 A9 F4 04 00 	
3650	接收	13:45:29.604			0x00000201	数据帧	标准帧	0x06	0F 00 A9 F4 04 00 	
3651	接收	13:45:29.612			0x00000080	数据帧	标准帧	0x00		
3652	接收	13:45:29.614			0x00000181	数据帧	标准帧	0x08	E1 FF 00 00 A9 F4 04 00 	
3653	接收	13:45:29.614			0x00000201	数据帧	标准帧	0x06	0F 00 A9 F4 04 00 	
3654	接收	13:45:29.622			0x00000080	数据帧	标准帧	0x00		
3655	接收	13:45:29.624			0x00000181	数据帧	标准帧	0x08	E1 FF 00 00 A9 F4 04 00 	
3656	接收	13:45:29.624			0x00000201	数据帧	标准帧	0x06	0F 00 A9 F4 04 00 	
3657	接收	13:45:29.633			0x00000281	数据帧	标准帧	0x03	37 92 08 	
3658	接收	13:45:29.633			0x00000080	数据帧	标准帧	0x00		
3659	接收	13:45:29.633			0x00000181	数据帧	标准帧	0x08	E1 FF 00 00 A9 F4 04 00 	
3660	接收	13:45:29.635			0x00000201	数据帧	标准帧	0x06	0F 00 A9 F4 04 00 	
3661	接收	13:45:29.643			0x00000080	数据帧	标准帧	0x00		
3662	接收	13:45:29.643			0x00000181	数据帧	标准帧	0x08	A4 50 01 00 A9 F4 04 00 	
3663	接收	13:45:29.645			0x00000201	数据帧	标准帧	0x06	0F 00 A9 F4 04 00 	
3664	接收	13:45:29.653			0x00000080	数据帧	标准帧	0x00		
3665	接收	13:45:29.653			0x00000181	数据帧	标准帧	0x08	FC D2 01 00 A9 F4 04 00 	
3666	接收	13:45:29.655			0x00000201	数据帧	标准帧	0x06	0F 00 A9 F4 04 00 	
3667	接收	13:45:29.663			0x00000080	数据帧	标准帧	0x00		
3668	接收	13:45:29.663			0x00000181	数据帧	标准帧	0x08	C5 6A 02 00 A9 F4 04 00 	
3669	接收	13:45:29.665			0x00000201	数据帧	标准帧	0x06	0F 00 A9 F4 04 00 	
3670	接收	13:45:29.673			0x00000080	数据帧	标准帧	0x00		
3671	接收	13:45:29.673			0x00000181	数据帧	标准帧	0x08	CB 04 03 00 A9 F4 04 00 	
3672	接收	13:45:29.675			0x00000201	数据帧	标准帧	0x06	0F 00 A9 F4 04 00 	
3673	接收	13:45:29.683			0x00000080	数据帧	标准帧	0x00		
3674	接收	13:45:29.683			0x00000181	数据帧	标准帧	0x08	CD 9E 03 00 A9 F4 04 00 	
3675	接收	13:45:29.685			0x00000201	数据帧	标准帧	0x06	0F 00 A9 F4 04 00 	
3676	接收	13:45:29.693			0x00000080	数据帧	标准帧	0x00		
3677	接收	13:45:29.693			0x00000181	数据帧	标准帧	0x08	18 3A 04 00 A9 F4 04 00 	
3678	接收	13:45:29.695			0x00000201	数据帧	标准帧	0x06	0F 00 A9 F4 04 00 	
3679	接收	13:45:29.699			0x00000281	数据帧	标准帧	0x03	37 96 08 	
3680	接收	13:45:29.703			0x00000080	数据帧	标准帧	0x00		
3681	接收	13:45:29.703			0x00000181	数据帧	标准帧	0x08	57 D3 04 00 A9 F4 04 00 	
3682	接收	13:45:29.705			0x00000201	数据帧	标准帧	0x06	0F 00 A9 F4 04 00 	
3683	接收	13:45:29.713			0x00000080	数据帧	标准帧	0x00		
3684	接收	13:45:29.713			0x00000181	数据帧	标准帧	0x08	22 FF 04 00 A9 F4 04 00 	
3685	接收	13:45:29.715			0x00000201	数据帧	标准帧	0x06	0F 00 A9 F4 04 00 	
3686	接收	13:45:29.723			0x00000080	数据帧	标准帧	0x00		
3687	接收	13:45:29.723			0x00000181	数据帧	标准帧	0x08	D6 F5 04 00 A9 F4 04 00 	
3688	接收	13:45:29.725			0x00000201	数据帧	标准帧	0x06	0F 00 A9 F4 04 00 	
3689	接收	13:45:29.733			0x00000080	数据帧	标准帧	0x00		
3690	接收	13:45:29.735			0x00000181	数据帧	标准帧	0x08	EB F4 04 00 A9 F4 04 00 	
3691	接收	13:45:29.735			0x00000201	数据帧	标准帧	0x06	0F 00 A9 F4 04 00 	
3692	接收	13:45:29.743			0x00000080	数据帧	标准帧	0x00		
3693	接收	13:45:29.745			0x00000181	数据帧	标准帧	0x08	31 F4 04 00 A9 F4 04 00 	
3694	接收	13:45:29.745			0x00000201	数据帧	标准帧	0x06	0F 00 A9 F4 04 00 	
3695	接收	13:45:29.753			0x00000080	数据帧	标准帧	0x00		
3696	接收	13:45:29.755			0x00000181	数据帧	标准帧	0x08	05 F4 04 00 A9 F4 04 00 	
3697	接收	13:45:29.755			0x00000201	数据帧	标准帧	0x06	0F 00 A9 F4 04 00 	
3698	接收	13:45:29.763			0x00000080	数据帧	标准帧	0x00		
3699	接收	13:45:29.765			0x00000181	数据帧	标准帧	0x08	37 F4 04 00 A9 F4 04 00 	
3700	接收	13:45:29.765			0x00000201	数据帧	标准帧	0x06	0F 00 A9 F4 04 00 	
3701	接收	13:45:29.773			0x00000080	数据帧	标准帧	0x00		
3702	接收	13:45:29.775			0x00000181	数据帧	标准帧	0x08	5E F4 04 00 A9 F4 04 00 	
3703	接收	13:45:29.775			0x00000201	数据帧	标准帧	0x06	0F 00 A9 F4 04 00 	
3704	接收	13:45:29.783			0x00000080	数据帧	标准帧	0x00		
3705	接收	13:45:29.785			0x00000181	数据帧	标准帧	0x08	7E F4 04 00 A9 F4 04 00 	
3706	接收	13:45:29.785			0x00000201	数据帧	标准帧	0x06	0F 00 A9 F4 04 00 	
3707	接收	13:45:29.793			0x00000080	数据帧	标准帧	0x00		
3708	接收	13:45:29.794			0x00000181	数据帧	标准帧	0x08	91 F4 04 00 A9 F4 04 00 	
3709	接收	13:45:29.794			0x00000201	数据帧	标准帧	0x06	0F 00 A9 F4 04 00 	
3710	接收	13:45:29.802			0x00000080	数据帧	标准帧	0x00		
3711	接收	13:45:29.804			0x00000181	数据帧	标准帧	0x08	9B F4 04 00 A9 F4 04 00 	
3712	接收	13:45:29.804			0x00000201	数据帧	标准帧	0x06	0F 00 A9 F4 04 00 	
3713	接收	13:45:29.812			0x00000080	数据帧	标准帧	0x00		
3714	接收	13:45:29.814			0x00000181	数据帧	标准帧	0x08	A6 F4 04 00 A9 F4 04 00 	
3715	接收	13:45:29.814			0x00000201	数据帧	标准帧	0x06	0F 00 A9 F4 04 00 	
3716	接收	13:45:29.822			0x00000080	数据帧	标准帧	0x00		
3717	接收	13:45:29.822			0x00000181	数据帧	标准帧	0x08	A8 F4 04 00 A9 F4 04 00 	
3718	接收	13:45:29.824			0x00000201	数据帧	标准帧	0x06	0F 00 A9 F4 04 00 	
3719	接收	13:45:29.832			0x00000080	数据帧	标准帧	0x00		
3720	接收	13:45:29.832			0x00000181	数据帧	标准帧	0x08	A6 F4 04 00 A9 F4 04 00 	
3721	接收	13:45:29.834			0x00000201	数据帧	标准帧	0x06	0F 00 A9 F4 04 00 	
3722	接收	13:45:29.842			0x00000080	数据帧	标准帧	0x00		
3723	接收	13:45:29.842			0x00000181	数据帧	标准帧	0x08	A1 F4 04 00 A9 F4 04 00 	
3724	接收	13:45:29.844			0x00000201	数据帧	标准帧	0x06	0F 00 A9 F4 04 00 	
3725	接收	13:45:29.852			0x00000080	数据帧	标准帧	0x00		
3726	接收	13:45:29.852			0x00000181	数据帧	标准帧	0x08	A5 F4 04 00 A9 F4 04 00 	
3727	接收	13:45:29.854			0x00000201	数据帧	标准帧	0x06	0F 00 A9 F4 04 00 	
3728	接收	13:45:29.862			0x00000080	数据帧	标准帧	0x00		
3729	接收	13:45:29.862			0x00000181	数据帧	标准帧	0x08	AC F4 04 00 A9 F4 04 00 	
3730	接收	13:45:29.864			0x00000201	数据帧	标准帧	0x06	0F 00 A9 F4 04 00 	
3731	接收	13:45:29.872			0x00000080	数据帧	标准帧	0x00		
3732	接收	13:45:29.872			0x00000181	数据帧	标准帧	0x08	B1 F4 04 00 A9 F4 04 00 	
3733	接收	13:45:29.874			0x00000201	数据帧	标准帧	0x06	0F 00 A9 F4 04 00 	
3734	接收	13:45:29.882			0x00000080	数据帧	标准帧	0x00		
3735	接收	13:45:29.882			0x00000181	数据帧	标准帧	0x08	AE F4 04 00 A9 F4 04 00 	
3736	接收	13:45:29.884			0x00000201	数据帧	标准帧	0x06	0F 00 A9 F4 04 00 	
3737	接收	13:45:29.892			0x00000080	数据帧	标准帧	0x00		
3738	接收	13:45:29.892			0x00000181	数据帧	标准帧	0x08	AD F4 04 00 A9 F4 04 00 	
3739	接收	13:45:29.894			0x00000201	数据帧	标准帧	0x06	0F 00 A9 F4 04 00 	
3740	接收	13:45:29.902			0x00000080	数据帧	标准帧	0x00		
3741	接收	13:45:29.902			0x00000181	数据帧	标准帧	0x08	A7 F4 04 00 A9 F4 04 00 	
3742	接收	13:45:29.904			0x00000201	数据帧	标准帧	0x06	0F 00 A9 F4 04 00 	
3743	接收	13:45:29.912			0x00000080	数据帧	标准帧	0x00		
3744	接收	13:45:29.912			0x00000181	数据帧	标准帧	0x08	A7 F4 04 00 A9 F4 04 00 	
3745	接收	13:45:29.914			0x00000201	数据帧	标准帧	0x06	0F 00 A9 F4 04 00 	
3746	接收	13:45:29.922			0x00000080	数据帧	标准帧	0x00		
3747	接收	13:45:29.922			0x00000181	数据帧	标准帧	0x08	A3 F4 04 00 A9 F4 04 00 	
3748	接收	13:45:29.924			0x00000201	数据帧	标准帧	0x06	0F 00 A9 F4 04 00 	
3749	接收	13:45:29.932			0x00000080	数据帧	标准帧	0x00		
3750	接收	13:45:29.932			0x00000181	数据帧	标准帧	0x08	A8 F4 04 00 A9 F4 04 00 	
3751	接收	13:45:29.934			0x00000201	数据帧	标准帧	0x06	0F 00 A9 F4 04 00 	
3752	接收	13:45:29.942			0x00000080	数据帧	标准帧	0x00		
3753	接收	13:45:29.942			0x00000181	数据帧	标准帧	0x08	A4 F4 04 00 A9 F4 04 00 	
3754	接收	13:45:29.944			0x00000201	数据帧	标准帧	0x06	0F 00 A9 F4 04 00 	
3755	接收	13:45:29.952			0x00000080	数据帧	标准帧	0x00		
3756	接收	13:45:29.952			0x00000181	数据帧	标准帧	0x08	A4 F4 04 00 A9 F4 04 00 	
3757	接收	13:45:29.954			0x00000201	数据帧	标准帧	0x06	0F 00 A9 F4 04 00 	
3758	接收	13:45:29.962			0x00000080	数据帧	标准帧	0x00		
3759	接收	13:45:29.962			0x00000181	数据帧	标准帧	0x08	A1 F4 04 00 A9 F4 04 00 	
3760	接收	13:45:29.964			0x00000201	数据帧	标准帧	0x06	0F 00 A9 F4 04 00 	
3761	接收	13:45:29.972			0x00000080	数据帧	标准帧	0x00		
3762	接收	13:45:29.972			0x00000181	数据帧	标准帧	0x08	A5 F4 04 00 A9 F4 04 00 	
3763	接收	13:45:29.974			0x00000201	数据帧	标准帧	0x06	0F 00 A9 F4 04 00 	
3764	接收	13:45:29.982			0x00000080	数据帧	标准帧	0x00		
3765	接收	13:45:29.982			0x00000181	数据帧	标准帧	0x08	A8 F4 04 00 A9 F4 04 00 	
3766	接收	13:45:29.984			0x00000201	数据帧	标准帧	0x06	0F 00 A9 F4 04 00 	
3767	接收	13:45:29.992			0x00000080	数据帧	标准帧	0x00		
3768	接收	13:45:29.992			0x00000181	数据帧	标准帧	0x08	AA F4 04 00 A9 F4 04 00 	
3769	接收	13:45:29.994			0x00000201	数据帧	标准帧	0x06	0F 00 A9 F4 04 00 	
3770	接收	13:45:30.002			0x00000080	数据帧	标准帧	0x00		
