;$FILEVERSION=2.0
;$STARTTIME=45224.5492104398
;$COLUMNS=N,O,T,I,d,l,D
;
;   Start time: 2023/10/25 13:10:51.782.0
;   Generated by PCAN-View v4.3.4.615





[TPDO1]
1=0x60640020
2=0x607A0020


;-------------------------------------------------------------------------------
;   Connection                 Bit rate
;   PCANLight_USB_16@pcan_usb  Nominal 1 MBit/s, Data 1 MBit/s
;-------------------------------------------------------------------------------
;   Message   Time    Type ID     Rx/Tx
;   Number    Offset  |    [hex]  |  Data Length
;   |         [ms]    |    |      |  |  Data [hex] ...
;   |         |       |    |      |  |  |
;---+-- ------+------ +- --+----- +- +- +- +- -- -- -- -- -- -- --
    179   2358846.852 DT     0080 Rx 0  
    180   2358856.825 DT     0080 Rx 0  
    181   2358866.798 DT     0080 Rx 0  
    182   2358876.774 DT     0080 Rx 0  
    183   2358886.746 DT     0080 Rx 0  
    184   2358896.720 DT     0080 Rx 0  
    185   2358906.695 DT     0080 Rx 0  
    186   2358916.669 DT     0080 Rx 0  
    187   2358926.642 DT     0080 Rx 0  
    188   2358932.063 DT     0701 Rx 1  7F 
    189   2358936.616 DT     0080 Rx 0  
    190   2358946.591 DT     0080 Rx 0  
    191   2358956.564 DT     0080 Rx 0  
    192   2358966.537 DT     0080 Rx 0  
    193   2358976.510 DT     0080 Rx 0  
    194   2358986.482 DT     0080 Rx 0  
    195   2358996.455 DT     0080 Rx 0  
    196   2359006.428 DT     0080 Rx 0  
    197   2359016.400 DT     0080 Rx 0  
    198   2359026.371 DT     0080 Rx 0  
    199   2359036.344 DT     0080 Rx 0  
    200   2359046.318 DT     0080 Rx 0  
    201   2359056.290 DT     0080 Rx 0  
    202   2359066.260 DT     0080 Rx 0  
    203   2359076.232 DT     0080 Rx 0  
    204   2359086.205 DT     0080 Rx 0  
    205   2359096.176 DT     0080 Rx 0  
    206   2359106.148 DT     0080 Rx 0  
    207   2359116.123 DT     0080 Rx 0  
    208   2359126.095 DT     0080 Rx 0  
    209   2359136.065 DT     0080 Rx 0  
    210   2359146.039 DT     0080 Rx 0  
    211   2359156.010 DT     0080 Rx 0  
    212   2359165.982 DT     0080 Rx 0  
    213   2359175.952 DT     0080 Rx 0  
    214   2359185.925 DT     0080 Rx 0  
    215   2359195.898 DT     0080 Rx 0  
    216   2359205.871 DT     0080 Rx 0  
    217   2359215.841 DT     0080 Rx 0  
    218   2359225.813 DT     0080 Rx 0  
    219   2359235.786 DT     0080 Rx 0  
    220   2359245.754 DT     0080 Rx 0  
    221   2359255.727 DT     0080 Rx 0  
    222   2359265.699 DT     0080 Rx 0  
    223   2359275.568 DT     0080 Rx 0  
    224   2359285.539 DT     0080 Rx 0  
    225   2359295.510 DT     0080 Rx 0  
    226   2359305.483 DT     0080 Rx 0  
    227   2359315.456 DT     0080 Rx 0  
    228   2359325.428 DT     0080 Rx 0  
    229   2359335.398 DT     0080 Rx 0  
    230   2359345.371 DT     0080 Rx 0  
    231   2359355.343 DT     0080 Rx 0  
    232   2359365.311 DT     0080 Rx 0  
    233   2359375.284 DT     0080 Rx 0  
    234   2359385.254 DT     0080 Rx 0  
    235   2359395.224 DT     0080 Rx 0  
    236   2359405.197 DT     0080 Rx 0  
    237   2359415.167 DT     0080 Rx 0  
    238   2359425.139 DT     0080 Rx 0  
    239   2359435.111 DT     0080 Rx 0  
    240   2359445.083 DT     0080 Rx 0  
    241   2359455.056 DT     0080 Rx 0  
    242   2359465.029 DT     0080 Rx 0  
    243   2359475.002 DT     0080 Rx 0  
    244   2359484.974 DT     0080 Rx 0  
    245   2359494.947 DT     0080 Rx 0  
    246   2359504.920 DT     0080 Rx 0  
    247   2359514.893 DT     0080 Rx 0  
    248   2359524.864 DT     0080 Rx 0  
    249   2359534.837 DT     0080 Rx 0  
    250   2359544.811 DT     0080 Rx 0  
    251   2359554.783 DT     0080 Rx 0  
    252   2359564.757 DT     0080 Rx 0  
    253   2359574.732 DT     0080 Rx 0  
    254   2359584.705 DT     0080 Rx 0  
    255   2359594.677 DT     0080 Rx 0  
    256   2359604.650 DT     0080 Rx 0  
    257   2359612.158 DT     0717 Rx 1  7F 
    258   2359614.623 DT     0080 Rx 0  
    259   2359624.598 DT     0080 Rx 0  
    260   2359634.571 DT     0080 Rx 0  
    261   2359644.544 DT     0080 Rx 0  
    262   2359654.516 DT     0080 Rx 0  
    263   2359664.488 DT     0080 Rx 0  
    264   2359674.463 DT     0080 Rx 0  
    265   2359684.439 DT     0080 Rx 0  
    266   2359694.410 DT     0080 Rx 0  
    267   2359704.383 DT     0080 Rx 0  
    268   2359714.355 DT     0080 Rx 0  
    269   2359724.328 DT     0080 Rx 0  
    270   2359734.299 DT     0080 Rx 0  
    271   2359744.271 DT     0080 Rx 0  
    272   2359754.244 DT     0080 Rx 0  
    273   2359764.216 DT     0080 Rx 0  
    274   2359774.189 DT     0080 Rx 0  
    275   2359784.160 DT     0080 Rx 0  
    276   2359794.132 DT     0080 Rx 0  
    277   2359804.105 DT     0080 Rx 0  
    278   2359814.075 DT     0080 Rx 0  
    279   2359824.047 DT     0080 Rx 0  
    280   2359834.018 DT     0080 Rx 0  
    281   2359843.988 DT     0080 Rx 0  
    282   2359853.961 DT     0080 Rx 0  
    283   2359863.934 DT     0080 Rx 0  
    284   2359873.907 DT     0080 Rx 0  
    285   2359883.878 DT     0080 Rx 0  
    286   2359893.854 DT     0080 Rx 0  
    287   2359903.827 DT     0080 Rx 0  
    288   2359913.802 DT     0080 Rx 0  
    289   2359923.774 DT     0080 Rx 0  
    290   2359930.829 DT     0701 Rx 1  7F 
    291   2359933.749 DT     0080 Rx 0  
    292   2359943.721 DT     0080 Rx 0  
    293   2359953.692 DT     0080 Rx 0  
    294   2359963.665 DT     0080 Rx 0  
    295   2359973.637 DT     0080 Rx 0  
    296   2359983.610 DT     0080 Rx 0  
    297   2359993.583 DT     0080 Rx 0  
    298   2360003.556 DT     0080 Rx 0  
    299   2360013.529 DT     0080 Rx 0  
    300   2360023.498 DT     0080 Rx 0  
    301   2360033.472 DT     0080 Rx 0  
    302   2360043.441 DT     0080 Rx 0  
    303   2360053.414 DT     0080 Rx 0  
    304   2360063.386 DT     0080 Rx 0  
    305   2360073.359 DT     0080 Rx 0  
    306   2360083.329 DT     0080 Rx 0  
    307   2360093.300 DT     0080 Rx 0  
    308   2360103.272 DT     0080 Rx 0  
    309   2360113.245 DT     0080 Rx 0  
    310   2360123.215 DT     0080 Rx 0  
    311   2360133.185 DT     0080 Rx 0  
    312   2360143.156 DT     0080 Rx 0  
    313   2360153.127 DT     0080 Rx 0  
    314   2360163.099 DT     0080 Rx 0  
    315   2360173.072 DT     0080 Rx 0  
    316   2360183.045 DT     0080 Rx 0  
    317   2360193.018 DT     0080 Rx 0  
    318   2360202.991 DT     0080 Rx 0  
    319   2360212.963 DT     0080 Rx 0  
    320   2360222.934 DT     0080 Rx 0  
    321   2360232.905 DT     0080 Rx 0  
    322   2360242.875 DT     0080 Rx 0  
    323   2360252.846 DT     0080 Rx 0  
    324   2360262.818 DT     0080 Rx 0  
    325   2360272.691 DT     0080 Rx 0  
    326   2360282.661 DT     0080 Rx 0  
    327   2360292.633 DT     0080 Rx 0  
    328   2360302.605 DT     0080 Rx 0  
    329   2360312.578 DT     0080 Rx 0  
    330   2360322.550 DT     0080 Rx 0  
    331   2360332.524 DT     0080 Rx 0  
    332   2360342.496 DT     0080 Rx 0  
    333   2360352.469 DT     0080 Rx 0  
    334   2360362.440 DT     0080 Rx 0  
    335   2360372.413 DT     0080 Rx 0  
    336   2360382.384 DT     0080 Rx 0  
    337   2360392.354 DT     0080 Rx 0  
    338   2360402.327 DT     0080 Rx 0  
    339   2360412.299 DT     0080 Rx 0  
    340   2360422.269 DT     0080 Rx 0  
    341   2360432.240 DT     0080 Rx 0  
    342   2360442.213 DT     0080 Rx 0  
    343   2360452.183 DT     0080 Rx 0  
    344   2360462.155 DT     0080 Rx 0  
    345   2360472.128 DT     0080 Rx 0  
    346   2360482.098 DT     0080 Rx 0  
    347   2360492.070 DT     0080 Rx 0  
    348   2360502.042 DT     0080 Rx 0  
    349   2360512.015 DT     0080 Rx 0  
    350   2360521.987 DT     0080 Rx 0  
    351   2360531.960 DT     0080 Rx 0  
    352   2360541.933 DT     0080 Rx 0  
    353   2360551.905 DT     0080 Rx 0  
    354   2360561.876 DT     0080 Rx 0  
    355   2360571.850 DT     0080 Rx 0  
    356   2360581.820 DT     0080 Rx 0  
    357   2360591.792 DT     0080 Rx 0  
    358   2360601.764 DT     0080 Rx 0  
    359   2360611.383 DT     0717 Rx 1  7F 
    360   2360611.736 DT     0080 Rx 0  
    361   2360621.707 DT     0080 Rx 0  
    362   2360631.678 DT     0080 Rx 0  
    363   2360641.648 DT     0080 Rx 0  
    364   2360651.620 DT     0080 Rx 0  
    365   2360661.593 DT     0080 Rx 0  
    366   2360671.565 DT     0080 Rx 0  
    367   2360681.536 DT     0080 Rx 0  
    368   2360691.511 DT     0080 Rx 0  
    369   2360701.483 DT     0080 Rx 0  
    370   2360711.458 DT     0080 Rx 0  
    371   2360721.430 DT     0080 Rx 0  
    372   2360731.404 DT     0080 Rx 0  
    373   2360741.377 DT     0080 Rx 0  
    374   2360751.350 DT     0080 Rx 0  
    375   2360761.324 DT     0080 Rx 0  
    376   2360771.298 DT     0080 Rx 0  
    377   2360781.272 DT     0080 Rx 0  
    378   2360791.245 DT     0080 Rx 0  
    379   2360801.218 DT     0080 Rx 0  
    380   2360811.192 DT     0080 Rx 0  
    381   2360821.163 DT     0080 Rx 0  
    382   2360831.139 DT     0080 Rx 0  
    383   2360841.111 DT     0080 Rx 0  
    384   2360851.086 DT     0080 Rx 0  
    385   2360861.059 DT     0080 Rx 0  
    386   2360871.034 DT     0080 Rx 0  
    387   2360881.008 DT     0080 Rx 0  
    388   2360890.977 DT     0080 Rx 0  
    389   2360900.951 DT     0080 Rx 0  
    390   2360910.924 DT     0080 Rx 0  
    391   2360920.899 DT     0080 Rx 0  
    392   2360929.583 DT     0701 Rx 1  7F 
    393   2360930.873 DT     0080 Rx 0  
    394   2360940.848 DT     0080 Rx 0  
    395   2360950.821 DT     0080 Rx 0  
    396   2360960.794 DT     0080 Rx 0  
    397   2360970.769 DT     0080 Rx 0  
    398   2360980.743 DT     0080 Rx 0  
    399   2360990.715 DT     0080 Rx 0  
    400   2361000.691 DT     0080 Rx 0  
    401   2361010.664 DT     0080 Rx 0  
    402   2361020.635 DT     0080 Rx 0  
    403   2361030.607 DT     0080 Rx 0  
    404   2361040.582 DT     0080 Rx 0  
    405   2361050.557 DT     0080 Rx 0  
    406   2361060.530 DT     0080 Rx 0  
    407   2361070.505 DT     0080 Rx 0  
    408   2361080.478 DT     0080 Rx 0  
    409   2361090.450 DT     0080 Rx 0  
    410   2361100.425 DT     0080 Rx 0  
    411   2361110.399 DT     0080 Rx 0  
    412   2361120.371 DT     0080 Rx 0  
    413   2361130.346 DT     0080 Rx 0  
    414   2361140.319 DT     0080 Rx 0  
    415   2361150.291 DT     0080 Rx 0  
    416   2361160.266 DT     0080 Rx 0  
    417   2361170.241 DT     0080 Rx 0  
    418   2361180.214 DT     0080 Rx 0  
    419   2361190.189 DT     0080 Rx 0  
    420   2361200.162 DT     0080 Rx 0  
    421   2361210.137 DT     0080 Rx 0  
    422   2361220.107 DT     0080 Rx 0  
    423   2361230.081 DT     0080 Rx 0  
    424   2361240.057 DT     0080 Rx 0  
    425   2361250.032 DT     0080 Rx 0  
    426   2361260.004 DT     0080 Rx 0  
    427   2361269.980 DT     0080 Rx 0  
    428   2361279.852 DT     0080 Rx 0  
    429   2361289.826 DT     0080 Rx 0  
    430   2361299.799 DT     0080 Rx 0  
    431   2361309.772 DT     0080 Rx 0  
    432   2361319.744 DT     0080 Rx 0  
    433   2361329.716 DT     0080 Rx 0  
    434   2361339.688 DT     0080 Rx 0  
    435   2361349.661 DT     0080 Rx 0  
    436   2361359.633 DT     0080 Rx 0  
    437   2361369.606 DT     0080 Rx 0  
    438   2361379.577 DT     0080 Rx 0  
    439   2361389.548 DT     0080 Rx 0  
    440   2361399.518 DT     0080 Rx 0  
    441   2361409.490 DT     0080 Rx 0  
    442   2361419.459 DT     0080 Rx 0  
    443   2361429.429 DT     0080 Rx 0  
    444   2361439.402 DT     0080 Rx 0  
    445   2361449.375 DT     0080 Rx 0  
    446   2361459.345 DT     0080 Rx 0  
    447   2361469.317 DT     0080 Rx 0  
    448   2361479.289 DT     0080 Rx 0  
    449   2361489.259 DT     0080 Rx 0  
    450   2361499.231 DT     0080 Rx 0  
    451   2361509.204 DT     0080 Rx 0  
    452   2361519.176 DT     0080 Rx 0  
    453   2361529.148 DT     0080 Rx 0  
    454   2361539.119 DT     0080 Rx 0  
    455   2361549.091 DT     0080 Rx 0  
    456   2361559.062 DT     0080 Rx 0  
    457   2361569.032 DT     0080 Rx 0  
    458   2361579.005 DT     0080 Rx 0  
    459   2361588.978 DT     0080 Rx 0  
    460   2361598.950 DT     0080 Rx 0  
    461   2361608.920 DT     0080 Rx 0  
    462   2361610.609 DT     0717 Rx 1  7F 
    463   2361618.889 DT     0080 Rx 0  
    464   2361628.860 DT     0080 Rx 0  
    465   2361638.830 DT     0080 Rx 0  
    466   2361648.803 DT     0080 Rx 0  
    467   2361658.776 DT     0080 Rx 0  
    468   2361668.747 DT     0080 Rx 0  
    469   2361678.719 DT     0080 Rx 0  
    470   2361688.692 DT     0080 Rx 0  
    471   2361698.665 DT     0080 Rx 0  
    472   2361708.637 DT     0080 Rx 0  
    473   2361718.608 DT     0080 Rx 0  
    474   2361728.579 DT     0080 Rx 0  
    475   2361738.549 DT     0080 Rx 0  
    476   2361748.521 DT     0080 Rx 0  
    477   2361758.492 DT     0080 Rx 0  
    478   2361768.465 DT     0080 Rx 0  
    479   2361778.435 DT     0080 Rx 0  
    480   2361788.408 DT     0080 Rx 0  
    481   2361798.378 DT     0080 Rx 0  
    482   2361808.350 DT     0080 Rx 0  
    483   2361818.322 DT     0080 Rx 0  
    484   2361828.294 DT     0080 Rx 0  
    485   2361838.267 DT     0080 Rx 0  
    486   2361848.239 DT     0080 Rx 0  
    487   2361858.212 DT     0080 Rx 0  
    488   2361868.185 DT     0080 Rx 0  
    489   2361878.155 DT     0080 Rx 0  
    490   2361888.127 DT     0080 Rx 0  
    491   2361898.099 DT     0080 Rx 0  
    492   2361908.069 DT     0080 Rx 0  
    493   2361918.042 DT     0080 Rx 0  
    494   2361928.015 DT     0080 Rx 0  
    495   2361928.345 DT     0701 Rx 1  7F 
    496   2361937.987 DT     0080 Rx 0  
    497   2361947.958 DT     0080 Rx 0  
    498   2361957.931 DT     0080 Rx 0  
    499   2361967.903 DT     0080 Rx 0  
    500   2361977.876 DT     0080 Rx 0  
    501   2361987.848 DT     0080 Rx 0  
    502   2361997.824 DT     0080 Rx 0  
    503   2362007.796 DT     0080 Rx 0  
    504   2362017.766 DT     0080 Rx 0  
    505   2362027.739 DT     0080 Rx 0  
    506   2362037.712 DT     0080 Rx 0  
    507   2362047.684 DT     0080 Rx 0  
    508   2362057.657 DT     0080 Rx 0  
    509   2362067.630 DT     0080 Rx 0  
    510   2362077.601 DT     0080 Rx 0  
    511   2362087.573 DT     0080 Rx 0  
    512   2362097.547 DT     0080 Rx 0  
    513   2362107.519 DT     0080 Rx 0  
    514   2362117.490 DT     0080 Rx 0  
    515   2362127.463 DT     0080 Rx 0  
    516   2362137.433 DT     0080 Rx 0  
    517   2362147.406 DT     0080 Rx 0  
    518   2362157.376 DT     0080 Rx 0  
    519   2362167.349 DT     0080 Rx 0  
    520   2362177.319 DT     0080 Rx 0  
    521   2362187.292 DT     0080 Rx 0  
    522   2362197.262 DT     0080 Rx 0  
    523   2362207.236 DT     0080 Rx 0  
    524   2362217.208 DT     0080 Rx 0  
    525   2362227.177 DT     0080 Rx 0  
    526   2362237.149 DT     0080 Rx 0  
    527   2362247.122 DT     0080 Rx 0  
    528   2362257.097 DT     0080 Rx 0  
    529   2362267.070 DT     0080 Rx 0  
    530   2362276.944 DT     0080 Rx 0  
    531   2362286.919 DT     0080 Rx 0  
    532   2362296.891 DT     0080 Rx 0  
    533   2362306.866 DT     0080 Rx 0  
    534   2362316.838 DT     0080 Rx 0  
    535   2362326.811 DT     0080 Rx 0  
    536   2362336.787 DT     0080 Rx 0  
    537   2362346.758 DT     0080 Rx 0  
    538   2362356.733 DT     0080 Rx 0  
    539   2362366.708 DT     0080 Rx 0  
    540   2362376.681 DT     0080 Rx 0  
    541   2362386.655 DT     0080 Rx 0  
    542   2362396.627 DT     0080 Rx 0  
    543   2362406.601 DT     0080 Rx 0  
    544   2362416.574 DT     0080 Rx 0  
    545   2362426.546 DT     0080 Rx 0  
    546   2362436.519 DT     0080 Rx 0  
    547   2362446.491 DT     0080 Rx 0  
    548   2362456.464 DT     0080 Rx 0  
    549   2362466.439 DT     0080 Rx 0  
    550   2362476.410 DT     0080 Rx 0  
    551   2362486.385 DT     0080 Rx 0  
    552   2362496.358 DT     0080 Rx 0  
    553   2362506.330 DT     0080 Rx 0  
    554   2362516.303 DT     0080 Rx 0  
    555   2362526.278 DT     0080 Rx 0  
    556   2362536.252 DT     0080 Rx 0  
    557   2362546.224 DT     0080 Rx 0  
    558   2362556.197 DT     0080 Rx 0  
    559   2362566.170 DT     0080 Rx 0  
    560   2362576.142 DT     0080 Rx 0  
    561   2362586.117 DT     0080 Rx 0  
    562   2362596.090 DT     0080 Rx 0  
    563   2362606.064 DT     0080 Rx 0  
    564   2362609.834 DT     0717 Rx 1  7F 
    565   2362616.038 DT     0080 Rx 0  
    566   2362626.012 DT     0080 Rx 0  
    567   2362635.988 DT     0080 Rx 0  
    568   2362645.958 DT     0080 Rx 0  
    569   2362655.933 DT     0080 Rx 0  
    570   2362665.906 DT     0080 Rx 0  
    571   2362675.878 DT     0080 Rx 0  
    572   2362685.849 DT     0080 Rx 0  
    573   2362695.820 DT     0080 Rx 0  
    574   2362705.793 DT     0080 Rx 0  
    575   2362715.766 DT     0080 Rx 0  
    576   2362725.741 DT     0080 Rx 0  
    577   2362735.713 DT     0080 Rx 0  
    578   2362745.685 DT     0080 Rx 0  
    579   2362755.658 DT     0080 Rx 0  
    580   2362765.633 DT     0080 Rx 0  
    581   2362775.606 DT     0080 Rx 0  
    582   2362785.578 DT     0080 Rx 0  
    583   2362795.551 DT     0080 Rx 0  
    584   2362805.524 DT     0080 Rx 0  
    585   2362815.499 DT     0080 Rx 0  
    586   2362825.472 DT     0080 Rx 0  
    587   2362835.445 DT     0080 Rx 0  
    588   2362845.418 DT     0080 Rx 0  
