;$FILEVERSION=2.0
;$STARTTIME=45232.8237570602
;$COLUMNS=N,O,T,I,d,l,D
;
;   Start time: 2023/11/2 19:46:12.610.0
;   Generated by PCAN-View v4.3.4.615
;-------------------------------------------------------------------------------
;   Connection                 Bit rate
;   PCANLight_USB_16@pcan_usb  Nominal 1 MBit/s, Data 1 MBit/s
;-------------------------------------------------------------------------------
;   Message   Time    Type ID     Rx/Tx
;   Number    Offset  |    [hex]  |  Data Length
;   |         [ms]    |    |      |  |  Data [hex] ...
;   |         |       |    |      |  |  |
;---+-- ------+------ +- --+----- +- +- +- +- -- -- -- -- -- -- --
    201      3947.058 DT     0080 Rx 0  
    202      3957.032 DT     0080 Rx 0  
    203      3967.009 DT     0080 Rx 0  
    204      3976.985 DT     0080 Rx 0  
    205      3986.959 DT     0080 Rx 0  
    206      3996.935 DT     0080 Rx 0  
    207      4006.909 DT     0080 Rx 0  
    208      4016.883 DT     0080 Rx 0  
    209      4026.856 DT     0080 Rx 0  
    210      4036.836 DT     0080 Rx 0  
    211      4046.812 DT     0080 Rx 0  
    212      4056.787 DT     0080 Rx 0  
    213      4066.763 DT     0080 Rx 0  
    214      4076.740 DT     0080 Rx 0  
    215      4086.716 DT     0080 Rx 0  
    216      4096.693 DT     0080 Rx 0  
    217      4106.670 DT     0080 Rx 0  
    218      4116.647 DT     0080 Rx 0  
    219      4126.624 DT     0080 Rx 0  
    220      4136.600 DT     0080 Rx 0  
    221      4146.577 DT     0080 Rx 0  
    222      4156.554 DT     0080 Rx 0  
    223      4166.531 DT     0080 Rx 0  
    224      4176.509 DT     0080 Rx 0  
    225      4186.487 DT     0080 Rx 0  
    226      4196.466 DT     0080 Rx 0  
    227      4206.343 DT     0080 Rx 0  
    228      4216.321 DT     0080 Rx 0  
    229      4226.298 DT     0080 Rx 0  
    230      4236.274 DT     0080 Rx 0  
    231      4246.250 DT     0080 Rx 0  
    232      4256.228 DT     0080 Rx 0  
    233      4266.205 DT     0080 Rx 0  
    234      4276.181 DT     0080 Rx 0  
    235      4286.157 DT     0080 Rx 0  
    236      4296.135 DT     0080 Rx 0  
    237      4306.112 DT     0080 Rx 0  
    238      4316.087 DT     0080 Rx 0  
    239      4326.063 DT     0080 Rx 0  
    240      4336.041 DT     0080 Rx 0  
    241      4346.018 DT     0080 Rx 0  
    242      4355.995 DT     0080 Rx 0  
    243      4365.970 DT     0080 Rx 0  
    244      4375.947 DT     0080 Rx 0  
    245      4385.922 DT     0080 Rx 0  
    246      4395.900 DT     0080 Rx 0  
    247      4405.875 DT     0080 Rx 0  
    248      4415.852 DT     0080 Rx 0  
    249      4425.829 DT     0080 Rx 0  
    250      4435.805 DT     0080 Rx 0  
    251      4445.779 DT     0080 Rx 0  
    252      4455.756 DT     0080 Rx 0  
    253      4465.732 DT     0080 Rx 0  
    254      4475.706 DT     0080 Rx 0  
    255      4485.685 DT     0080 Rx 0  
    256      4495.661 DT     0080 Rx 0  
    257      4505.635 DT     0080 Rx 0  
    258      4515.614 DT     0080 Rx 0  
    259      4525.592 DT     0080 Rx 0  
    260      4535.567 DT     0080 Rx 0  
    261      4545.540 DT     0080 Rx 0  
    262      4555.515 DT     0080 Rx 0  
    263      4565.494 DT     0080 Rx 0  
    264      4575.470 DT     0080 Rx 0  
    265      4585.446 DT     0080 Rx 0  
    266      4595.421 DT     0080 Rx 0  
    267      4605.398 DT     0080 Rx 0  
    268      4615.373 DT     0080 Rx 0  
    269      4625.352 DT     0080 Rx 0  
    270      4635.329 DT     0080 Rx 0  
    271      4645.306 DT     0080 Rx 0  
    272      4655.280 DT     0080 Rx 0  
    273      4665.258 DT     0080 Rx 0  
    274      4675.232 DT     0080 Rx 0  
    275      4685.208 DT     0080 Rx 0  
    276      4695.183 DT     0080 Rx 0  
    277      4705.161 DT     0080 Rx 0  
    278      4715.136 DT     0080 Rx 0  
